DEBUG 2024-12-10 16:25:17,429 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1534 LIMIT 21; args=(1534,); alias=default
DEBUG 2024-12-10 16:25:17,445 utils (0.011) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 42 LIMIT 21; args=(42,); alias=default
DEBUG 2024-12-10 16:25:20,685 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:25:20,689 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1534 LIMIT 21; args=(1534,); alias=default
DEBUG 2024-12-10 16:25:20,697 utils (0.007) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 42 LIMIT 21; args=(42,); alias=default
DEBUG 2024-12-10 16:25:24,222 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:25:24,224 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1535 LIMIT 21; args=(1535,); alias=default
DEBUG 2024-12-10 16:25:24,226 utils (0.002) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 46 LIMIT 21; args=(46,); alias=default
DEBUG 2024-12-10 16:25:28,808 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:25:28,810 utils (0.000) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1535 LIMIT 21; args=(1535,); alias=default
DEBUG 2024-12-10 16:25:28,812 utils (0.001) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 46 LIMIT 21; args=(46,); alias=default
