Enviado em,"A fim de medir o nível de satisfação em relação ao atendimento do Almoxarifado para os demais setores da empresa, qual sua pontuação de 0 a 10 ?","Em sua visão, quais aspectos podem ser destacados como pontos de melhoria para o setor ?"
2025-09-18 16:11:20,9,
2025-09-18 12:46:06,2,A entrega de qualquer produto fora de horario pois tem algumas coisas que não podem esperar na produçao .
2025-09-18 11:32:01,7,
2025-09-18 10:59:22,3,
2025-09-18 10:03:50,4,
2025-09-18 08:42:49,7,"Maior agilidade na atendimento, embalagem e cuidado no envio de peças de reposição, identificação na embalagem da peça enviada a cliente."
2025-09-18 07:56:00,6,Agilidade no atendimento e liberação de PN's.
2025-09-17 15:41:30,7,
2025-09-17 10:39:58,1,"Mais vontade 
Mais respeito 
Agilidade 
Não questionar 
Menos conversa 
Mais conhecimento sobre os itens 
Saber melhor a localização dos itens "
2025-09-17 08:24:44,9,
2025-09-16 16:39:55,9,
2025-09-16 07:13:08,9,
2025-09-15 23:37:08,9,
2025-09-15 23:12:19,5,
2025-09-15 16:52:40,5,tem de melhorar muito
2025-09-15 16:49:51,7,
2025-09-15 15:51:02,6,
2025-09-15 15:39:21,4,
2025-09-15 15:30:01,10,
2025-09-15 15:16:26,9,
2025-09-15 14:50:43,10,
2025-09-15 13:55:29,8,
2025-09-15 13:42:31,5,
2025-09-15 13:32:32,9,
2025-09-15 13:31:16,10,..
2025-09-15 13:27:25,9,
2025-09-15 12:37:23,10,
2025-09-15 12:15:56,9,
2025-09-15 11:38:29,8,
2025-09-15 11:37:03,8,
2025-09-15 11:12:10,10,
2025-09-15 10:14:12,9,
2025-09-15 10:01:02,10,
2025-09-15 09:58:13,7,0
2025-09-15 09:55:20,1,
2025-09-15 09:32:16,8,"Recomendo aprimorar o processo de gestão dos itens de amostra por meio de um controle mais estruturado, com registro detalhado de entrada e saída, definição clara de responsáveis pela retirada e devolução e organização física que facilite a localização. Isso traria maior transparência e reduziria perdas ou extravios, garantindo que os materiais estejam sempre disponíveis quando necessários e contribuindo para maior eficiência entre os setores"
2025-09-15 09:24:22,10,ótimo
2025-09-15 09:20:50,4,algumas parecem que não gostariam de estar trabalhando na hora de atender
2025-09-15 09:19:26,3,"atendentes atendem com preguiça, e dificultando o trabalho "
2025-09-15 09:17:51,7,Organização e Limpeza
2025-09-15 09:16:33,6,entendo que todos nos temos nossas demandas para fazer mas quando temos que ir ate o almoxarifado pegar alguma coisa perdemos muito tempo esperando para ser atendo pelo pessoal 
2025-09-15 09:05:58,8,não posso avaliar
2025-09-15 09:04:44,8,"Não utilizo o almoxi, portanto não posso avaliar."
2025-09-15 09:02:30,6,Acredito que um dos colaboradores deve ficar direto no atendimento no balcão.
2025-09-15 08:53:11,8,/////
2025-09-15 08:51:57,7,Mais organização e controle.
2025-09-15 08:51:51,3,ddd
2025-09-15 08:51:17,10,ter mais pessoas pra atender 
2025-09-15 08:48:48,7,Controle de materiais
2025-09-15 08:32:49,7,.
2025-09-15 08:30:05,10,CHAT PARA COMUNICAÇAO 
2025-09-15 08:23:13,7,Atendimento Okay.
2025-09-15 08:22:52,10,Hoje a minha utilização é mínima para ter opiniões sobre melhorias.
2025-09-15 08:22:07,6,"Demora ao pagar kits e muitas vezes com itens faltando, sem comunicação e sem ação para resolver de imediato. "
2025-09-15 08:17:07,7,mais colaboradores mas áreas de recebimento liberação de componentes para as outras áreas e no atendimento no balão
2025-09-15 08:13:23,9,".
"
2025-09-15 08:10:54,9,Não tenho contato direto com o setor.
2025-09-15 08:10:23,4,"pessoal que atende no balcão por vezes demonstra uma má vontade no atendimento, outro aspecto é a questão da falta de materiais, que engloba o compras, mas acredito que cabe ser levantado esse ponto aqui."
2025-09-15 08:08:10,10,".
"
2025-09-15 08:06:17,5,Boa vontade no atendimento do balcão
2025-09-15 08:05:04,7,Multiplicar o conhecimento quanto ao uso do sistema tecnicom.  
2025-09-15 08:02:51,7,.
2025-09-15 08:02:39,10,"Não vejo nenhum aspecto específico 
"
2025-09-15 08:02:14,9,Compomentes de venda ao cliente deveria ter embalagens padronizadas não visivel ex. Caixa de papelão .
2025-09-15 08:01:10,8,Verificar as solicitações de envio das peças de retrabalho. 
2025-09-15 08:00:59,5,.
2025-09-15 08:00:41,7,N/A
2025-09-15 08:00:03,9,Organização do setor
2025-09-15 07:57:43,6,Melhorar o atendimento com as pessoas.
2025-09-15 07:57:28,10,"ter os insumos no estoque , esse problema ja faz tempo que acontece , as pessoas chegam no balcao pedem o insumo ,,nao tem ou nao foi feito o pedido ta para chegar , melhora nisso .. o pessoal que atende la soa 100% otimas pessoas obrigado"
2025-09-15 07:56:27,7,ORGANIZAÇÃO DO SETOR 
2025-09-15 07:55:56,8,Organização e controle de estoque
2025-09-15 07:55:27,9,"Nada a declara 
"
2025-09-15 07:55:23,9,.
2025-09-15 07:54:39,9,o atendimento dos colegas do almoxarifado é muito bom.
2025-09-15 07:53:57,7,"Teria que ter alguém disponível 100%, as vezes quando chega lá, não tem ninguém no almoxarifado tendo que esperar até 10Minutos."
2025-09-15 07:52:25,9,A equipe do almoxarifado está de parabéns.
2025-09-15 07:52:22,9,A equipe do almoxarifado está de parabéns.
2025-09-15 07:50:15,10,.
2025-09-15 07:49:55,8,nenhuma sugestão
2025-09-15 07:49:51,9,pra mim tudo bem
2025-09-15 07:49:45,10,Sem resalvas
2025-09-15 07:48:38,10,.
2025-09-15 07:48:26,1,oupup
2025-09-15 07:48:17,5,mais rapídez
2025-09-15 07:47:43,10,Sem sugestões de melhoria
2025-09-15 07:47:38,10,ok
2025-09-15 07:47:14,10,.
2025-09-15 07:47:12,10,1
2025-09-15 07:47:08,8,..
2025-09-15 07:46:19,10,N/A
2025-09-15 07:42:58,8,Definições de operações e organizações de pagamentos
2025-09-15 07:41:34,6,"falta um pouco de conhecimento ,e organização."
2025-09-15 07:40:19,10,Tudo está ok. 
2025-09-15 07:38:24,10,ok
2025-09-15 07:38:16,10,.
2025-09-15 07:38:12,8,algumas coisas
2025-09-15 07:38:11,10,Nada a declarar. 
2025-09-15 07:37:06,9,Sem sugestões.
2025-09-15 07:36:52,9,sem sugestões
2025-09-15 07:36:23,8,melhorar a acuracidade
2025-09-15 07:35:50,10,no momento esta ok
2025-09-15 07:35:26,9,"""Como estou há um mês na empresa, tive pouco contato com o almoxarifado, mas pelo que pude observar até agora, acredito que estão desempenhando um bom trabalho."
2025-09-15 07:35:15,10,Os colegas de trabalhos são bem receptivos e prestativos. 
2025-09-15 07:35:01,5,"Atendimento, Empatia..."
2025-09-15 07:34:36,8,"Não tenho muita interação com o setor de almoxarifado, mas sempre que preciso de algo minha demanda é atendida."
2025-09-15 07:34:23,7,atenção nos meio de comunicação (email e chat)
2025-09-15 07:33:59,10, .
2025-09-15 07:33:33,6,maior agilidade no atendimento
2025-09-15 07:30:51,10,Sempre fomos bem atendidos.
2025-09-15 07:30:38,9,Nada a comentar.
